	adj	adj_c	adj_l	adj_r	adj_s	animals	attn	body	bsid	bsid_cl	bsid_clr	bsid_cr	bsid_l	bsid_lr	bsid_r	cats	clothing	codes	corr_rej	corr_rej2	ctrl	ctrl_adj	ctrl_adj_c	ctrl_adj_l	ctrl_adj_r	ctrl_adj_s	ctrl_div	ctrl_sel	ctrl_sep	ctrl_sep_e	ctrl_sep_l	ctrl_sep_r	ctrl_sep_s	d_alarm	d_rate	dist_words	distractor_RTs	distractor_times	div	div_animals	div_body	div_clothing	div_fooddrink	div_furniture	div_plants	div_weather	f_alarm	f_rate	false_alarm_times	fooddrink	furniture	h_rate	hits	index	l_c	l_e	miss	num_dists	num_norms	num_targs	osid	osid_l	osid_r	phase	plants	press_times	r_c	r_e	sel	sel_animals	sel_body	sel_clothing	sel_fooddrink	sel_furniture	sel_plants	sel_weather	sep	sep_e	sep_l	sep_r	sep_s	sndw	sndw_cl	sndw_clr	sndw_cr	sndw_l	sndw_lr	sndw_r	subj	targ_cats	targ_words	target_RTs	target_times	test	test_adj	test_adj_c	test_adj_l	test_adj_r	test_adj_s	test_div	test_sel	test_sep	test_sep_e	test_sep_l	test_sep_r	test_sep_s	times	trial	weather	words
0	True	True	False	False	False	True	[0, 1, 1, 0]	False	True	True	True	False	False	False	False	['weather', 'animals', 'fooddrink', 'clothing']	False	[[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]	1	8	False	False	False	False	False	False	False	False	False	False	False	False	False	0	0.0	['nose']	[-1]	[6.25]	True	True	False	False	True	False	False	False	0	0.0	[]	True	False	0.3333333333333333	1	0	True	False	2	1	8	3	False	False	False	test	False	[11.160153985711872]	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	BX	[None, 'animals', 'fooddrink', None]	['chin', 'arm', 'rug']	[-1, -1, 1.1601539857118723]	[2.5, 4.0, 10.0]	True	True	True	False	False	False	True	False	False	False	False	False	False	[[0.25, 1.0, 2.0, 3.5, 4.25, 5.25, 6.25, 7.25, 8.5, 9.5, 10.25, 11.25], [0.0, 1.25, 2.25, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.25, 10.0, 11.0], [0.75, 1.75, 2.5, 3.25, 4.5, 5.5, 6.5, 7.5, 8.25, 9.0, 10.5, 11.5], [0.5, 1.5, 2.75, 3.75, 4.75, 5.75, 6.75, 7.75, 8.75, 9.75, 10.75, 11.75]]	0	False	[['fog', 'breeze', 'rain', 'fog', 'wind', 'rain', 'nose', 'breeze', 'sky', 'cloud', 'sky', 'wind'], ['bird', 'bird', 'cat', 'cat', 'arm', 'pig', 'mouse', 'pig', 'snake', 'mouse', 'rug', 'snake'], ['bread', 'wine', 'chin', 'rice', 'meat', 'meat', 'rice', 'soup', 'beer', 'wine', 'beer', 'bread'], ['dress', 'hat', 'shirt', 'scarf', 'dress', 'suit', 'belt', 'hat', 'belt', 'suit', 'scarf', 'shirt']]
1	False	False	False	False	False	False	[1, 0, 1, 0]	False	False	False	False	False	False	False	False	['weather', 'animals', 'fooddrink', 'clothing']	False	[[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]	1	8	False	False	False	False	False	False	False	False	False	False	False	False	False	0	0.0	['rug']	[-1]	[9.5]	True	False	False	False	True	False	False	True	1	0.1111111111111111	[9.509366603956323]	True	False	0.5	1	1	False	True	1	1	9	2	False	False	False	test	False	[4.948757323956329, 9.509366603956323]	True	False	False	False	False	False	False	False	False	False	True	False	True	False	True	True	False	False	False	True	True	False	BX	['weather', None, 'fooddrink', None]	['arm', 'lamp']	[-1, 0.698757323956329]	[2.25, 4.25]	True	False	False	False	False	False	True	False	True	False	True	False	True	[[0.75, 1.75, 2.5, 3.5, 4.25, 5.75, 6.5, 7.25, 8.0, 9.25, 10.0, 11.25], [0.25, 1.0, 2.0, 3.25, 4.5, 5.25, 6.0, 7.0, 8.5, 9.5, 10.5, 11.75], [0.5, 1.25, 2.25, 3.0, 4.0, 5.0, 6.25, 7.75, 8.75, 9.75, 10.75, 11.5], [0.0, 1.5, 2.75, 3.75, 4.75, 5.5, 6.75, 7.5, 8.25, 9.0, 10.25, 11.0]]	1	True	[['cloud', 'breeze', 'fog', 'wind', 'lamp', 'cloud', 'wind', 'rain', 'sky', 'rain', 'fog', 'breeze'], ['mouse', 'pig', 'mouse', 'cat', 'snake', 'bird', 'pig', 'snake', 'cat', 'rug', 'cow', 'bird'], ['beer', 'meat', 'arm', 'beer', 'bread', 'meat', 'rice', 'wine', 'wine', 'bread', 'soup', 'rice'], ['suit', 'hat', 'shirt', 'suit', 'belt', 'scarf', 'hat', 'dress', 'dress', 'shirt', 'belt', 'scarf']]
2	True	False	True	False	True	True	[1, 1, 0, 0]	False	False	False	False	False	False	False	False	['weather', 'animals', 'fooddrink', 'clothing']	False	[[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]	0	8	False	False	False	False	False	False	False	False	False	False	False	False	False	0		[]	[]	[]	True	True	False	False	False	False	False	True	1	0.1111111111111111	[11.580144732769327]	False	False	0.0	0	2	True	True	3	0	9	3	False	False	False	test	False	[11.580144732769327]	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	BX	['weather', 'animals', None, None]	['nose', 'chair', 'foot']	[-1, -1, -1]	[2.5, 7.25, 10.25]	True	True	False	True	False	True	True	False	False	False	False	False	False	[[0.5, 1.5, 2.25, 3.5, 4.75, 5.75, 6.5, 7.25, 8.0, 9.25, 10.25, 11.0], [0.75, 1.75, 2.5, 3.25, 4.25, 5.25, 6.0, 7.0, 8.25, 9.0, 10.0, 11.25], [0.0, 1.25, 2.0, 3.0, 4.0, 5.0, 6.75, 7.75, 8.5, 9.5, 10.5, 11.75], [0.25, 1.0, 2.75, 3.75, 4.5, 5.5, 6.25, 7.5, 8.75, 9.75, 10.75, 11.5]]	2	True	[['sky', 'rain', 'cloud', 'fog', 'wind', 'fog', 'breeze', 'chair', 'breeze', 'wind', 'foot', 'cloud'], ['cat', 'cow', 'nose', 'snake', 'mouse', 'mouse', 'cat', 'bird', 'pig', 'cow', 'snake', 'bird'], ['beer', 'beer', 'meat', 'rice', 'wine', 'soup', 'bread', 'rice', 'wine', 'meat', 'soup', 'bread'], ['belt', 'scarf', 'suit', 'dress', 'hat', 'shirt', 'suit', 'scarf', 'shirt', 'hat', 'dress', 'belt']]
3	True	True	False	False	False	True	[0, 1, 1, 0]	False	False	False	False	False	False	False	False	['weather', 'animals', 'fooddrink', 'clothing']	False	[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]	0	8	False	False	False	False	False	False	False	False	False	False	False	False	False	0		[]	[]	[]	True	True	False	False	True	False	False	False	1	0.1111111111111111	[4.039155244746439]	True	False	0.0	0	3	True	False	3	0	9	3	False	False	False	test	False	[4.039155244746439]	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	BX	[None, 'animals', 'fooddrink', None]	['rug', 'chin', 'nose']	[-1, -1, -1]	[2.0, 5.75, 7.75]	True	True	True	False	False	False	True	False	False	False	False	False	False	[[0.75, 1.75, 2.5, 3.5, 4.25, 5.5, 6.5, 7.25, 8.25, 9.0, 10.0, 11.25], [0.0, 1.0, 2.0, 3.25, 4.0, 5.0, 6.25, 7.75, 8.75, 9.75, 10.5, 11.5], [0.5, 1.25, 2.25, 3.0, 4.75, 5.75, 6.75, 7.5, 8.5, 9.25, 10.25, 11.0], [0.25, 1.5, 2.75, 3.75, 4.5, 5.25, 6.0, 7.0, 8.0, 9.5, 10.75, 11.75]]	3	False	[['fog', 'rain', 'sky', 'breeze', 'cloud', 'wind', 'rain', 'wind', 'fog', 'breeze', 'sky', 'cloud'], ['cat', 'bird', 'rug', 'pig', 'mouse', 'snake', 'snake', 'nose', 'cat', 'pig', 'bird', 'cow'], ['rice', 'meat', 'meat', 'soup', 'beer', 'chin', 'wine', 'soup', 'wine', 'beer', 'rice', 'bread'], ['shirt', 'dress', 'shirt', 'suit', 'scarf', 'hat', 'dress', 'belt', 'scarf', 'suit', 'belt', 'hat']]
4	False	False	False	False	False	False	[1, 0, 0, 1]	False	False	False	False	False	False	False	False	['weather', 'animals', 'fooddrink', 'clothing']	True	[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]]	1	8	False	False	False	False	False	False	False	False	False	False	False	False	False	0	0.0	['foot']	[-1]	[4.0]	True	False	False	True	False	False	False	True	1	0.1111111111111111	[9.001704631052235]	False	False	0.5	1	4	False	True	1	1	9	2	False	False	False	test	False	[9.001704631052235, 11.186224311052229]	False	True	False	False	False	False	False	False	False	False	True	True	False	False	False	True	True	True	False	False	False	False	BX	['weather', None, None, 'clothing']	['rug', 'arm']	[-1, 0.6862243110522286]	[2.25, 10.5]	True	False	False	False	False	False	True	False	True	True	False	False	False	[[0.5, 1.25, 2.75, 3.5, 4.25, 5.0, 6.25, 7.0, 8.75, 9.75, 10.5, 11.25], [0.0, 1.0, 2.0, 3.25, 4.0, 5.5, 6.75, 7.5, 8.25, 9.0, 10.75, 11.5], [0.75, 1.75, 2.5, 3.75, 4.5, 5.25, 6.0, 7.25, 8.0, 9.5, 10.25, 11.0], [0.25, 1.5, 2.25, 3.0, 4.75, 5.75, 6.5, 7.75, 8.5, 9.25, 10.0, 11.75]]	4	True	[['wind', 'wind', 'fog', 'fog', 'cloud', 'rain', 'sky', 'cloud', 'breeze', 'rain', 'arm', 'sky'], ['cat', 'bird', 'bird', 'cow', 'foot', 'snake', 'snake', 'cow', 'mouse', 'cat', 'mouse', 'pig'], ['wine', 'beer', 'wine', 'beer', 'meat', 'soup', 'rice', 'rice', 'bread', 'meat', 'bread', 'soup'], ['dress', 'dress', 'rug', 'scarf', 'shirt', 'suit', 'belt', 'hat', 'suit', 'scarf', 'hat', 'belt']]
5	False	False	False	False	False	False	[0, 0, 1, 0]	False	False	False	False	False	False	False	False	['weather', 'animals', 'fooddrink', 'clothing']	False	[[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]	1	8	False	False	False	False	False	False	False	False	False	False	False	False	False	0	0.0	['lamp']	[-1]	[2.0]	False	False	False	False	False	False	False	False	1	0.1111111111111111	[10.41010249447777]	True	False	0.5	1	5	False	False	1	1	9	2	False	False	False	test	False	[6.055972574477892, 10.41010249447777]	True	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	BX	[None, None, 'fooddrink', None]	['foot', 'arm']	[1.0559725744778916, -1]	[5.0, 8.0]	True	False	False	False	False	False	False	True	False	False	False	False	False	[[0.5, 1.25, 2.0, 3.75, 4.5, 5.5, 6.25, 7.0, 8.25, 9.0, 10.0, 11.25], [0.75, 1.5, 2.25, 3.0, 4.0, 5.25, 6.75, 7.5, 8.5, 9.75, 10.75, 11.75], [0.0, 1.75, 2.5, 3.25, 4.25, 5.0, 6.0, 7.25, 8.0, 9.25, 10.25, 11.0], [0.25, 1.0, 2.75, 3.5, 4.75, 5.75, 6.5, 7.75, 8.75, 9.5, 10.5, 11.5]]	5	False	[['sky', 'fog', 'lamp', 'fog', 'rain', 'cloud', 'rain', 'wind', 'breeze', 'cloud', 'sky', 'breeze'], ['cat', 'cat', 'cow', 'bird', 'snake', 'pig', 'bird', 'mouse', 'snake', 'pig', 'cow', 'mouse'], ['wine', 'soup', 'soup', 'beer', 'bread', 'foot', 'meat', 'wine', 'arm', 'beer', 'bread', 'meat'], ['shirt', 'scarf', 'dress', 'belt', 'scarf', 'hat', 'shirt', 'suit', 'belt', 'dress', 'suit', 'hat']]
6	False	False	False	False	False	False	[1, 0, 0, 1]	False	False	False	False	False	False	False	False	['weather', 'animals', 'fooddrink', 'clothing']	True	[[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]]	2	6	False	False	False	False	False	False	False	False	False	False	False	False	False	0	0.0	['arm', 'chair']	[-1, -1]	[4.0, 8.75]	True	False	False	True	False	False	False	True	2	0.25	[1.4267483314683886, 10.246337451468435]	False	False	0.0	0	6	False	True	2	2	8	2	False	False	False	test	False	[1.4267483314683886, 10.246337451468435]	False	True	False	False	False	False	False	False	False	False	True	True	False	False	False	True	True	True	True	False	False	False	BX	['weather', None, None, 'clothing']	['rug', 'lamp']	[-1, -1]	[2.0, 6.75]	True	False	False	False	False	False	True	False	True	True	False	False	False	[[0.0, 1.75, 2.75, 3.75, 4.5, 5.25, 6.75, 7.75, 8.5, 9.25, 10.0, 11.5], [0.75, 1.5, 2.25, 3.0, 4.0, 5.0, 6.0, 7.5, 8.25, 9.5, 10.25, 11.0], [0.5, 1.25, 2.5, 3.25, 4.25, 5.5, 6.25, 7.0, 8.75, 9.75, 10.75, 11.75], [0.25, 1.0, 2.0, 3.5, 4.75, 5.75, 6.5, 7.25, 8.0, 9.0, 10.5, 11.25]]	6	True	[['cloud', 'breeze', 'wind', 'fog', 'sky', 'cloud', 'lamp', 'sky', 'breeze', 'fog', 'rain', 'wind'], ['bird', 'cow', 'cat', 'cow', 'arm', 'cat', 'mouse', 'snake', 'pig', 'pig', 'snake', 'bird'], ['beer', 'wine', 'soup', 'meat', 'bread', 'beer', 'bread', 'rice', 'chair', 'meat', 'soup', 'rice'], ['suit', 'shirt', 'rug', 'hat', 'scarf', 'belt', 'dress', 'hat', 'scarf', 'belt', 'suit', 'dress']]
7	False	False	False	False	False	False	[0, 0, 0, 1]	False	False	False	False	False	False	False	False	['weather', 'animals', 'fooddrink', 'clothing']	True	[[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]]	2	8	False	False	False	False	False	False	False	False	False	False	False	False	False	0	0.0	['arm', 'chair']	[-1, -1]	[2.75, 10.75]	False	False	False	False	False	False	False	False	0	0.0	[]	False	False	0.5	1	7	False	False	1	2	8	2	False	False	False	test	False	[7.703077493331648]	False	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	BX	[None, None, None, 'clothing']	['chin', 'leg']	[-1, 0.7030774933316479]	[4.0, 7.0]	True	False	False	False	False	False	False	True	False	False	False	False	False	[[0.0, 1.75, 2.75, 3.75, 4.75, 5.5, 6.75, 7.5, 8.25, 9.0, 10.25, 11.25], [0.25, 1.0, 2.0, 3.5, 4.25, 5.75, 6.5, 7.75, 8.5, 9.5, 10.75, 11.75], [0.5, 1.25, 2.25, 3.0, 4.5, 5.25, 6.0, 7.25, 8.75, 9.75, 10.5, 11.5], [0.75, 1.5, 2.5, 3.25, 4.0, 5.0, 6.25, 7.0, 8.0, 9.25, 10.0, 11.0]]	7	False	[['sky', 'breeze', 'arm', 'cloud', 'cloud', 'sky', 'fog', 'wind', 'fog', 'rain', 'wind', 'rain'], ['snake', 'pig', 'mouse', 'cat', 'bird', 'bird', 'cat', 'cow', 'pig', 'cow', 'chair', 'mouse'], ['rice', 'meat', 'rice', 'meat', 'soup', 'beer', 'wine', 'soup', 'beer', 'wine', 'bread', 'bread'], ['suit', 'hat', 'belt', 'suit', 'chin', 'shirt', 'dress', 'leg', 'dress', 'scarf', 'hat', 'belt']]
8	True	False	True	False	True	True	[1, 1, 0, 0]	False	True	False	False	False	False	True	True	['weather', 'animals', 'fooddrink', 'clothing']	False	[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]	1	9	False	False	False	False	False	False	False	False	False	False	False	False	False	0	0.0	['leg']	[-1]	[9.25]	True	True	False	False	False	False	False	True	0	0.0	[]	False	False	0.5	1	8	True	True	1	1	9	2	False	False	False	test	False	[11.697965926184452]	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	BX	['weather', 'animals', None, None]	['arm', 'chair']	[-1, 0.6979659261844517]	[4.0, 11.0]	True	True	False	True	False	True	True	False	False	False	False	False	False	[[0.75, 1.75, 2.75, 3.75, 4.5, 5.5, 6.75, 7.75, 8.5, 9.5, 10.25, 11.0], [0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.25, 7.25, 8.75, 9.75, 10.5, 11.75], [0.25, 1.5, 2.25, 3.5, 4.25, 5.25, 6.0, 7.0, 8.0, 9.25, 10.0, 11.25], [0.5, 1.25, 2.5, 3.25, 4.75, 5.75, 6.5, 7.5, 8.25, 9.0, 10.75, 11.5]]	8	True	[['fog', 'sky', 'wind', 'cloud', 'cloud', 'wind', 'rain', 'sky', 'fog', 'rain', 'breeze', 'chair'], ['snake', 'pig', 'snake', 'bird', 'arm', 'cow', 'pig', 'cat', 'cat', 'mouse', 'cow', 'bird'], ['wine', 'wine', 'meat', 'rice', 'beer', 'rice', 'soup', 'meat', 'beer', 'leg', 'bread', 'bread'], ['hat', 'scarf', 'shirt', 'belt', 'suit', 'dress', 'dress', 'shirt', 'suit', 'scarf', 'belt', 'hat']]
9	False	False	False	False	False	True	[0, 1, 0, 1]	False	False	False	False	False	False	False	False	['weather', 'animals', 'fooddrink', 'clothing']	True	[[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]]	1	8	False	False	False	False	False	False	False	False	False	False	False	False	False	0	0.0	['foot']	[-1]	[8.25]	True	True	False	True	False	False	False	False	0	0.0	[]	False	False	0.3333333333333333	1	9	True	False	2	1	8	3	True	True	False	test	False	[4.564643538380096]	False	True	False	False	False	False	False	False	False	False	True	False	False	True	True	False	False	False	False	False	False	False	BX	[None, 'animals', None, 'clothing']	['chair', 'rug', 'nose']	[1.0646435383800963, -1, -1]	[3.5, 6.75, 10.25]	True	False	False	False	False	False	True	False	True	False	False	True	True	[[0.25, 1.25, 2.0, 3.0, 4.25, 5.0, 6.25, 7.25, 8.25, 9.75, 10.75, 11.5], [0.0, 1.0, 2.75, 3.5, 4.5, 5.5, 6.5, 7.75, 8.75, 9.5, 10.25, 11.75], [0.75, 1.75, 2.5, 3.25, 4.0, 5.25, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0], [0.5, 1.5, 2.25, 3.75, 4.75, 5.75, 6.75, 7.5, 8.5, 9.25, 10.5, 11.25]]	9	False	[['breeze', 'rain', 'wind', 'cloud', 'fog', 'breeze', 'wind', 'cloud', 'foot', 'rain', 'sky', 'sky'], ['mouse', 'snake', 'cat', 'chair', 'bird', 'cat', 'bird', 'pig', 'pig', 'cow', 'nose', 'mouse'], ['beer', 'bread', 'wine', 'rice', 'beer', 'wine', 'soup', 'rice', 'meat', 'meat', 'soup', 'bread'], ['dress', 'belt', 'suit', 'hat', 'shirt', 'shirt', 'rug', 'hat', 'suit', 'belt', 'scarf', 'scarf']]
