	subj	ctrl	test	sel	div	adj	sep	ctrl_sel	ctrl_div	ctrl_sep	ctrl_adj	test_sel	test_div	test_sep	test_adj	ctrl_adj_c	ctrl_adj_r	ctrl_adj_l	ctrl_adj_s	ctrl_sep_e	ctrl_sep_r	ctrl_sep_l	ctrl_sep_s	test_adj_c	test_adj_r	test_adj_l	test_adj_s	test_sep_e	test_sep_r	test_sep_l	test_sep_s	body	plants	animals	weather	clothing	fooddrink	furniture	sel_body	sel_plants	sel_animals	sel_weather	sel_clothing	sel_fooddrink	sel_furniture	div_body	div_plants	div_animals	div_weather	div_clothing	div_fooddrink	div_furniture	sndw	sndw_lr	sndw_l	sndw_r	sndw_cl	sndw_cr	sndw_clr	bsid	bsid_l	bsid_r	bsid_lr	bsid_cl	bsid_cr	bsid_clr	osid	osid_l	osid_r
BX	1.8169938547624596	3.0656880209827264	1.3557287124665678	2.16499217693864	1.6020380053677072	1.6805210434020292	1.525141767438711	3.268493024031726	2.9076976298293475	2.8587285503206568	2.885976236105975	1.777021909277429	1.0705158462180624	0.9908491711400926	1.16244700284985	2.482985590490575	2.9909482849085114	3.1618192259628284	3.054203434284557	2.6580431956865986	4.182044836547439	2.0751874529267003	2.8834871882911437	0.8549591987396781	1.1056496724227332	1.6514610496691566	1.3000131117191822	0.9232127565328323	0.7863420513641955	1.2597648128139514	1.025222963507429	1.4694149928340674	1.384670274517362	1.3670916511994482	0.7681272599254527	1.5606462269255055	1.0998763326621426	0.7916177988103882	1.6608596222163743	1.4910442074638033	1.4755297617409986	1.3870518910246188	2.0674968656679917	1.5857350629305378	2.213092387448825	1.3674988760022773	1.389942746429384	1.3374042061072238	0.6370199594379872	1.3139216633570678	0.9586003779853917	0.43882606826532966	1.3249278542374199	1.3412816694036438	1.308547956159217	1.351702239930661	1.308224979812387	0.6909388587891467	1.308224979812387	2.0133148493213207	2.4139104730414704	2.894737428630731	2.9908098403076036	1.4413282764087292	1.5587835495029956	1.4413282764087292	1.2880622713441519	1.3733143238877412	0.8447443618366008
CO	1.9829003892144639	3.270663712357562	1.5074865206781591	2.632711647989961	1.592348182347455	1.5568634720003538	1.6289350105348925	3.6978879299136276	3.001949567178314	2.859554972597223	3.043612130819459	2.2675497709432566	0.9758241410987598	1.0394572419281225	0.9222186351733274	2.8794845222014125	3.3581203699811066	2.7129241838490454	3.054203434284557	3.3155517668332255	2.8725307134395655	2.261009682513156	2.5577398425638056	1.108243925062119	0.6893306513413285	0.9483488026303659	0.8182167974499187	1.2250854555937527	1.0263735936958382	0.8972256585664125	0.9439022073672609	1.1550065136866179	1.5031064164432137	1.2491283311369856	1.517123944092714	1.3731093537249086	1.1962100308788797	1.221689648228336	2.069575204052523	2.348203790486883	2.2556882251085963	3.6631206489181016	1.8927854441085477	2.4685080116036917	2.0294101603079024	0.6393967168946426	1.103130850205768	0.899955215020961	1.2254682660943248	1.0923959955396185	0.8146432772904914	1.0024615633356233	1.7838898531667795	1.350212017337876	1.3137758798068604	1.382994127100638	2.333253347552591	2.021041578923562	2.333253347552591	1.5395598407031854	1.8761027526387017	1.439431151357497	1.5359442064373587	1.5191922800963988	0.9979421437320404	1.5191922800963988	1.569198333270233	1.7512624669306764	1.2649692448841479
CP	2.855925961763367	3.310689219437829	2.674738464885772	3.546029956949483	2.54581265057375	2.67729791046668	2.3964307586880973	4.089918660594237	2.9590629169316394	2.454174739332482	3.580753976662585	3.317769212909284	2.3745440373143927	2.4008372642734876	2.3316592891576806	2.6580431956865986	4.210862068153176	3.692729377561109	4.26530210947784	1.805952078252641	2.8725307134395655	2.9244959943051394	2.9765766123486985	2.1308504575157796	2.360455785717588	2.5223675839370467	2.4023023532025274	2.1350071290853228	3.289452599311963	1.8799567391940462	2.4890426537368273	2.5949996854867337	2.3919830383321696	2.410358242761294	2.5022663770942697	2.6577449930543433	2.916334503764415	2.3672944219203798	3.134750904295328	2.7912248438805434	3.064554748905202	3.6631206489181016	3.1869438203499683	4.063720247761804	2.5620373547790365	2.335754975925657	2.3061112499064067	2.2172604344990714	2.308299927360486	2.5073798608205378	2.6389367875703016	2.3190113648490063	1.8515045679058164	1.8833073887809364	1.7281849031493843	2.4139104730414704	1.7955260973604763	1.382994127100638	1.7955260973604763	2.7305361468127707	3.1710615258780304	2.7033596948129217	2.8820817508935987	2.4812740083692635	2.5506016855024924	2.4812740083692635	3.4471152959877034	3.474905251505601	2.4483228999548374
CQ	2.485735258554769	3.776903870963496	2.0755163733360895	2.9583730933817387	2.216251652872481	2.2178022558370505	2.1987949436604226	4.015469685793915	3.5687509629181857	3.1805169566457296	4.160026069211787	2.6140013822359958	1.7558192974415705	1.8196275998974438	1.687148736403113	4.188998645309287	3.3581203699811066	3.692729377561109	3.8192211459209853	2.5015421104542472	3.1960573906001577	3.6661410980350615	3.5760703640595626	1.3618017726105083	2.009354835943822	1.6326225797031617	1.8315605782288917	1.6127624982757445	2.057635157725573	1.757071811258144	1.9073765463532657	1.6947968089021541	1.8139358209404053	1.702972535254221	2.3620030768819067	2.1610599800891794	2.0495009235405175	1.884728938949514	2.191093403124186	2.5517165686604866	2.383224009124033	3.0373233969967526	2.428415005472729	3.04214473130326	2.815255105484538	1.465233792685523	1.5092840420754423	1.4848047671619087	2.2197183571787167	2.0556171093223	1.7968367063483033	1.6656138649833094	2.082767980543827	1.974325548632176	1.7281849031493843	3.1710615258780304	2.134903374161803	1.4853702874036616	2.134903374161803	2.111336568198951	1.88950996033343	2.223727804069183	2.2172730380133983	1.9506610037718797	2.480809814082026	1.9506610037718797	2.462844244179972	2.5391547147078537	1.972837776647406
CR	2.137266524142877	2.989439561521728	1.79479179252859	2.755633425862132	1.794348205463875	1.8456429806009385	1.730068863207222	3.6978879299136276	2.621765648335074	2.1259822489186035	3.22080161746483	2.430242410444044	1.4117491175208419	1.531431669630668	1.3046879137630558	2.8819273911572583	3.1245519618794524	3.249730892552663	3.263098206961504	2.058521057060587	2.4307585155410667	1.771322653681334	2.116984862529813	0.7651435800779561	1.1081243730160149	1.9634577664283452	1.5481980715079282	1.0391507545398484	1.7316816442069562	1.9826478427109997	1.894290996144461	1.8272209648499358	1.8590416411399495	1.6750126073634533	1.5118455756073963	1.6314750521295436	1.5908182460759965	1.3738606699368319	2.6480690802724434	1.7931078781002332	3.062799316833032	2.163900763066821	2.426267877642995	2.301318634809445	1.7543406865368676	1.573390928334716	2.062120485968226	1.2725636348698797	1.3823591478446722	1.2579344716808623	1.403362213678737	1.282803677555157	1.2990838905640887	1.1479513692804164	1.075492897920347	1.351702239930661	1.4199891499072255	0.5076275750611273	1.4199891499072255	1.8113230525248758	1.351702239930661	3.2251247159437972	2.7769875740611387	1.0263307177669596	0.7826970488321621	1.0263307177669596	1.6855255405853968	1.889905322633991	0.8757779948357447
CS	2.5181261312368353	4.6279848469517635	2.0434182983277243	3.286564040132485	2.1373573799467964	2.0425421975348006	2.224696268089752	5.2136240081557235	4.232826615164108	3.975179189801012	4.303434763106679	2.8713528884330684	1.59954294695855	1.7226200299550756	1.4684225034911362	3.748420460871472	3.535669255026626	4.230537097963878	4.130562561305734	3.1960573906001577	4.182044836547439	3.777237692477209	4.321121471143908	1.448257867840923	1.4354510234224358	1.4580312968892843	1.462298276892685	2.1702834196694427	1.470193207061876	1.501166879892628	1.4984642099580812	2.113142394291431	1.9253057350830567	1.6968819420608232	1.7242520147409355	1.9692926581539416	1.7664849022723055	1.797803897125256	2.960950385845469	3.105354843323443	2.3934859874010264	3.1676637832400925	2.6625731734097857	2.473507256056389	3.409073172975923	1.7963643273413026	1.4987882591005781	1.4864936688306856	1.5341581824138302	1.6751813703124283	1.569071618090386	1.5134134237851042	2.2949255940483253	1.879281035879939	1.7352335412429547	2.4139104730414704	2.7721296805311484	2.2607531442467783	2.7721296805311484	2.1036215601714163	1.8761027526387017	2.2272482878885014	2.2130123053333266	1.952310089671371	2.264553408370783	1.952310089671371	2.00357297323705	2.047521917303467	1.6906216295848977
CT	1.5938681154666416	1.9712997849217335	1.4069778960298973	1.7991564835214484	1.453871541446047	1.3171217855936348	1.5921522319029358	2.1813712313860267	1.8165821231302504	1.965777660265514	1.6456880562505727	1.6281855168243635	1.2553592420256754	1.3821117920074202	1.1270132352234148	2.0225723473453954	2.75038026605325	0.45027803297745916	1.4297291424533898	1.8748153714403417	2.8725307134395655	1.2796274549358744	2.026561591884796	1.023271504156407	1.1953255854655422	1.1380772287700252	1.1778024143533004	1.5802580085462774	1.7316816442069562	0.7240934351038373	1.2520499125734887	1.3017463653019297	0.7606928280496562	1.5909324029409626	1.2690833901877987	1.424416958594424	1.464744812697599	1.3248239097879027	1.3166518161119298	1.0605622435314257	1.9027045772796338	1.3110026709605425	1.8120369519513373	2.301318634809445	1.2815515655446004	1.279059317392336	0.5610593835788458	1.4642347507995268	1.238317988755809	1.217779152155498	1.2384189112367316	1.3465246521331389	1.7438480859770962	1.448318537821575	1.1830573327546912	2.4139104730414704	1.963172054911514	1.3407009109881871	1.963172054911514	1.013827622500608	1.365109447625389	1.0446529137069616	1.0944385713760343	0.9211873601254412	0.6219978847474955	0.9211873601254412	2.107233100256597	2.444165736450696	1.1677827616779421
CV	2.338675457986924	3.7300041224261156	1.908057632070931	2.797524671826325	2.0776065318257477	2.2073125813967627	1.936284281813204	4.216477952434076	3.4329658672749255	3.1457517412363765	3.775306648403247	2.397414419682425	1.6103473256552476	1.4964753346601958	1.7127455491835422	3.6366355750379724	3.6661410980350615	3.249730892552663	3.6033797779174908	2.9634290858022	2.787519241763883	3.2243689001365627	3.1014456704916626	2.1138973173461473	1.3746689493305964	1.622193585315426	1.5043855090481577	1.9876936042248838	1.204829197374424	1.2415077603401343	1.2350608236520266	2.0621662353472976	1.8213839799959028	1.5599738257661222	1.5937954183400225	2.0740923778525446	1.9809974412373512	1.2780983980386869	2.3223928367993696	2.549479420811056	1.636980882323035	3.1676637832400925	2.2267572776425126	3.4932749115500217	2.213092387448825	1.952383651712222	1.5010671077735351	1.5212345718552096	1.3834940938355516	1.9991771703199117	1.6637570465392373	1.0311324121298022	1.9382846826613318	1.6117657999593196	1.4153842483749701	2.6332538054752614	2.2222045070021297	2.019424392391497	2.2222045070021297	2.518504321807935	1.0491313979639707	2.3771631238761244	2.1212923432514508	2.903158360749845	2.264553408370783	2.903158360749845	1.9381538621898462	1.8872707051530742	1.972837776647406
CW	2.846391770956292	4.015036816785831	2.48576530570986	3.2107117352587977	2.6392084365124564	2.7210396611365253	2.5318105562000213	4.406514037835043	3.7316943446991573	3.424613798576631	3.949862880288306	2.8467384030277736	2.276682210606985	2.226107056108949	2.28234876262264	3.322505575595073	3.777237692477209	4.230537097963878	4.343224449583541	3.5245362654008123	4.182044836547439	2.690927586203485	3.3848924086403187	1.7234148618371732	2.5605404729996017	2.3517791281633706	2.529716335028685	2.5110653844951623	1.9105612000997714	2.299176351133064	2.0214919029833953	2.682875300816881	2.3561725770711797	2.250439483120072	2.141221857741913	2.872004092432778	2.185202738132247	2.0904195035702737	2.5639043007872298	2.7912248438805434	2.739087894876227	2.541866531318744	3.0705853856352197	2.473507256056389	2.4663101381543266	2.669208346250468	2.1385948370940815	2.0632760594043673	2.0575859409957764	2.730660600173962	2.120719315375183	1.9634002209256316	2.36291967523865	2.2594026369099867	2.101629513685516	2.4139104730414704	2.435699415917115	2.0315726704952626	2.435699415917115	2.272669886976996	1.382994127100638	2.6990828838116174	2.477463997595424	1.9971636064495923	2.2509256965027937	1.9971636064495923	2.115236604631204	2.3175574535440684	1.1153251070396228
DE	2.968939991326418	4.367739962328578	2.6051331108097404	3.6213442830181477	2.6578213359184835	2.8837109987804035	2.5093167113645523	4.842258267153761	4.021476857948272	3.6466739459503645	4.571896236687563	3.276428934190947	2.269728111194255	2.161083738204289	2.4137627867437073	4.188998645309287	3.6661410980350615	4.230537097963878	4.26530210947784	3.5245362654008123	3.5157921560735144	3.2325167223590943	3.4872269529107216	1.9497871279267218	2.437778372944144	2.7895285315119303	2.6608988493720673	2.891328864302295	1.8682699343487026	1.7669310453217741	1.8383988751232718	3.390858824482055	1.8695488180139015	2.681590662504888	1.979336974518417	2.4554853134769057	2.2652607586508338	2.4797226072881964	3.6092484340251065	1.996620656273837	3.2720121949023477	3.0373233969967526	3.652290511046905	2.641679026055179	3.409073172975923	3.215631847908562	1.824649217892405	2.4883740359453848	1.8196581819274793	2.0592164887220585	2.181059200797349	2.292582921576359	2.535767915539476	2.0900760719425695	1.9520182668305077	2.6645456926452384	3.045101597125589	2.492550555043181	3.045101597125589	2.7285469641043596	3.1710615258780304	3.351729495029666	3.5082241655439006	2.2172730380133983	2.021648404957748	2.2172730380133983	2.3079257414762737	2.3904868349905777	1.8544250427339262
